資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20240419,00651R,16,0,0,0.00
20240419,00651R,17,361,18192000,100.00
20240419,00652,1,4134,1256869,2.22
20240419,00652,2,4949,10421678,18.43
20240419,00652,3,851,6565704,11.61
20240419,00652,4,257,3302690,5.84
20240419,00652,5,153,2817046,4.98
20240419,00652,6,120,3028839,5.35
20240419,00652,7,50,1802316,3.18
20240419,00652,8,14,653407,1.15
20240419,00652,9,53,3992923,7.06
20240419,00652,10,18,2683000,4.74
20240419,00652,11,8,2209000,3.90
20240419,00652,12,1,597000,1.05
20240419,00652,13,3,2139000,3.78
20240419,00652,14,0,0,0.00
20240419,00652,15,5,15065528,26.64
20240419,00652,16,0,0,0.00
20240419,00652,17,10616,56535000,100.00
20240419,00653L,1,247,43616,0.31
20240419,00653L,2,709,1553728,11.17
20240419,00653L,3,148,1158986,8.33
20240419,00653L,4,56,711003,5.11
20240419,00653L,5,36,675440,4.85
20240419,00653L,6,30,759093,5.45
20240419,00653L,7,12,417000,2.99
20240419,00653L,8,15,713000,5.12
20240419,00653L,9,26,1784000,12.83
20240419,00653L,10,12,1718000,12.35
20240419,00653L,11,8,1965237,14.13
20240419,00653L,12,0,0,0.00
20240419,00653L,13,0,0,0.00
20240419,00653L,14,0,0,0.00
20240419,00653L,15,2,2403897,17.29
20240419,00653L,16,0,0,0.00
20240419,00653L,17,1301,13903000,100.00
20240419,00654R,1,28,3104,0.01
20240419,00654R,2,211,536478,2.33
20240419,00654R,3,90,756501,3.29
20240419,00654R,4,55,747004,3.25
20240419,00654R,5,28,534000,2.32
20240419,00654R,6,35,891000,3.87
20240419,00654R,7,26,934000,4.06
20240419,00654R,8,21,995000,4.33
20240419,00654R,9,30,2326000,10.12
20240419,00654R,10,15,1984000,8.63
20240419,00654R,11,10,2891286,12.58
20240419,00654R,12,6,2913000,12.68
20240419,00654R,13,0,0,0.00
20240419,00654R,14,2,1948000,8.48
